,ID,Is_It_Dog?,Type_of_Object,Hour,Num_of_Retweet,Num_of_Favorite
1370,762035686371364864,0,0,21.0,17919.0,35400.0
1371,762316489655476224,0,0,15.0,1298.0,5350.0
1372,762464539388485633,1,0,1.0,4839.0,11503.0
1373,762471784394268675,1,0,2.0,7612.0,12571.0
1374,762699858130116608,1,0,17.0,4190.0,13518.0
1375,763103485927849985,0,0,20.0,2602.0,8163.0
1376,763183847194451968,1,0,1.0,1702.0,6004.0
1377,763837565564780549,1,0,20.0,4858.0,14041.0
1378,764259802650378240,1,0,0.0,1745.0,6718.0
1379,764857477905154048,1,0,16.0,2029.0,7099.0
1380,765222098633691136,1,0,16.0,3914.0,12902.0
1381,765371061932261376,1,3,2.0,2475.0,7842.0
1382,765395769549590528,1,0,3.0,3127.0,20539.0
1383,765669560888528897,1,0,22.0,1407.0,5760.0
1384,765719909049503744,1,0,1.0,2475.0,8021.0
1385,766008592277377025,1,0,20.0,571.0,4149.0
1386,766069199026450432,1,0,0.0,1003.0,4765.0
1387,766078092750233600,1,,9.720160481444333,2766.753259779338,8895.725677031094
1388,766313316352462849,1,0,16.0,2166.0,7493.0
1389,766423258543644672,1,0,23.0,1825.0,6671.0
1390,766693177336135680,1,0,17.0,918.0,4484.0
1391,766793450729734144,1,0,0.0,1565.0,5650.0
1392,767122157629476866,1,0,22.0,3261.0,11227.0
1393,767191397493538821,0,1,2.0,4406.0,13643.0
1394,767500508068192258,1,0,23.0,2688.0,8295.0
1395,767754930266464257,1,0,16.0,6221.0,17814.0
1396,767884188863397888,0,0,0.0,1634.0,5309.0
1397,768193404517830656,0,1,21.0,4080.0,12157.0
1398,768473857036525572,1,0,15.0,3958.0,15110.0
1399,768596291618299904,1,0,23.0,1473.0,5592.0
1400,768609597686943744,1,0,0.0,1382.0,4580.0
1401,768855141948723200,1,0,16.0,1034.0,4660.0
1402,768970937022709760,1,0,0.0,7574.0,16017.0
1403,769212283578875904,1,0,16.0,1969.0,5980.0
1404,769695466921623552,1,0,0.0,1926.0,7101.0
1405,769940425801170949,1,0,16.0,11131.0,34948.0
1406,770069151037685760,1,0,1.0,2651.0,8385.0
1407,770093767776997377,1,,9.720160481444333,2766.753259779338,8895.725677031094
1408,770293558247038976,1,0,16.0,1718.0,6923.0
1409,770414278348247044,0,0,0.0,2390.0,6987.0
1410,770655142660169732,0,0,16.0,2013.0,8130.0
1411,770772759874076672,1,0,23.0,1626.0,5749.0
1412,770787852854652928,1,0,0.0,1415.0,5498.0
1413,771004394259247104,0,,9.720160481444333,2766.753259779338,8895.725677031094
1414,771014301343748096,0,0,15.0,1782.0,7032.0
1415,771102124360998913,1,0,21.0,1663.0,6898.0
1416,771136648247640064,0,0,0.0,3357.0,10223.0
1417,771171053431250945,1,,9.720160481444333,2766.753259779338,8895.725677031094
1418,771380798096281600,1,0,16.0,5912.0,11746.0
1419,771500966810099713,1,0,0.0,3018.0,9167.0
1420,771770456517009408,1,0,18.0,3924.0,13356.0
1421,772102971039580160,1,0,16.0,1065.0,4448.0
1422,772114945936949249,1,0,16.0,546.0,3005.0
1423,772117678702071809,1,0,17.0,848.0,4165.0
1424,772152991789019136,1,0,19.0,1300.0,4181.0
1425,772193107915964416,1,3,22.0,1612.0,6665.0
1426,772581559778025472,1,0,23.0,1968.0,7192.0
1427,772615324260794368,1,,9.720160481444333,2766.753259779338,8895.725677031094
1428,772826264096874500,1,0,15.0,2669.0,8842.0
1429,772877495989305348,0,0,19.0,4501.0,9555.0
1430,773191612633579521,1,0,16.0,4736.0,11117.0
1431,773247561583001600,0,0,19.0,3699.0,10414.0
1432,773308824254029826,0,0,23.0,8640.0,25846.0
1433,773547596996571136,1,3,15.0,7126.0,24553.0
1434,773670353721753600,1,0,23.0,1501.0,5935.0
1435,773704687002451968,1,0,2.0,1891.0,7317.0
1436,773922284943896577,1,0,16.0,1999.0,7110.0
1437,773985732834758656,0,3,20.0,4492.0,11925.0
1438,774314403806253056,1,0,18.0,6478.0,24167.0
1439,774639387460112384,1,0,16.0,2013.0,7508.0
1440,774757898236878852,1,0,23.0,2035.0,9462.0
1441,775085132600442880,1,0,21.0,5488.0,17281.0
1442,775364825476165632,1,1,16.0,3472.0,8295.0
1443,775729183532220416,0,0,16.0,5302.0,14361.0
1444,775733305207554048,0,1,16.0,4627.0,15413.0
1445,775842724423557120,1,0,23.0,3116.0,13022.0
1446,775898661951791106,1,,9.720160481444333,2766.753259779338,8895.725677031094
1447,776088319444877312,0,0,16.0,179.0,2045.0
1448,776113305656188928,0,3,17.0,5068.0,13102.0
1449,776201521193218049,1,0,23.0,2919.0,10681.0
1450,776218204058357768,1,2,0.0,18497.0,33345.0
1451,776477788987613185,1,3,17.0,3249.0,9858.0
1452,776813020089548800,1,0,16.0,1405.0,5444.0
